Channel 1,Channel 2,Channel 3
219,202,180
219,202,180
219,202,180
219,202,180
220,202,180
220,202,180
220,202,180
219,202,180
220,202,180
220,202,180
220,202,180
219,202,180
219,202,180
219,202,180
219,202,180
218,202,180
218,202,180
220,202,180
221,202,180
221,202,180
221,202,180
219,202,180
219,202,180
221,202,180
221,202,180
221,202,180
221,202,180
221,202,180
222,202,180
222,202,180
222,202,180
221,202,180
220,202,180
222,202,180
223,202,180
223,202,180
221,202,180
219,202,180
220,202,180
220,202,180
219,202,180
219,202,180
219,202,180
220,202,180
221,202,180
222,202,180
222,202,180
222,202,180
222,202,180
222,202,180
222,202,180
222,202,180
222,202,180
222,202,180
221,202,180
221,202,180
222,202,180
222,202,180
221,202,180
222,202,180
222,202,180
221,202,180
219,202,180
221,202,180
222,202,180
220,202,180
219,202,180
221,202,180
222,202,180
223,202,180
223,202,180
223,202,180
223,202,180
221,202,180
220,202,180
220,202,180
221,202,180
222,202,180
223,202,180
223,202,180
223,202,180
222,202,180
222,202,180
224,202,180
223,202,180
222,202,180
221,202,180
222,202,180
223,202,180
223,202,180
223,202,180
223,202,180
223,202,180
222,202,180
222,202,180
221,202,180
222,202,180
223,202,180
223,202,180
223,202,180
223,202,180
223,202,180
223,202,180
223,202,180
223,202,180
222,202,180
221,202,180
221,202,180
221,202,180
220,202,180
221,202,180
223,202,180
224,202,180
223,202,180
221,202,180
222,202,180
222,202,180
221,202,180
220,202,180
222,202,180
223,202,180
223,202,180
223,202,180
224,202,180
225,202,180
225,202,180
225,202,180
225,202,180
224,202,180
224,202,180
223,202,180
222,202,180
221,202,180
221,202,180
223,202,180
222,202,180
221,202,180
221,202,180
224,202,180
223,202,180
219,202,180
224,202,180
228,202,180
220,202,180
218,202,180
220,202,180
224,202,180
226,202,180
225,202,180
223,202,180
221,202,180
221,202,180
223,202,180
223,202,180
223,202,180
222,202,180
220,202,180
218,202,180
220,202,180
221,202,180
221,202,180
222,202,180
223,202,180
223,202,180
224,202,180
224,202,180
223,202,180
221,202,180
222,202,180
222,202,180
221,202,180
222,202,180
223,202,180
224,202,180
225,202,180
224,202,180
222,202,180
221,202,180
220,202,180
221,202,180
223,202,180
223,202,180
222,202,180
221,202,180
222,202,180
222,202,180
222,202,180
222,202,180
221,202,180
221,202,180
223,202,180
223,202,180
220,202,180
218,202,180
221,202,180
223,202,180
222,202,180
220,202,180
219,202,180
220,202,180
221,202,180
222,202,180
222,202,180
220,202,180
217,202,180
216,202,180
220,202,180
222,202,180
222,202,180
221,202,180
221,202,180
220,202,180
219,202,180
222,202,180
222,202,180
220,202,180
218,202,180
218,202,180
218,202,180
219,202,180
219,202,180
219,202,180
220,202,180
221,202,180
220,202,180
218,202,180
218,202,180
220,202,180
222,202,180
222,202,180
221,202,180
217,202,180
219,202,180
220,202,180
220,202,180
220,202,180
219,202,180
218,202,180
217,202,180
218,202,180
219,202,180
219,202,180
219,202,180
216,202,180
216,202,180
218,202,180
219,202,180
218,202,180
217,202,180
217,202,180
219,202,180
219,202,180
217,202,180
215,202,180
217,202,180
218,202,180
216,202,180
214,202,180
212,202,180
214,202,180
215,202,180
215,202,180
218,202,180
220,202,180
218,202,180
217,202,180
217,202,180
217,202,180
220,202,180
221,202,180
218,202,180
215,202,180
214,202,180
214,202,180
215,202,180
214,202,180
215,202,180
214,202,180
216,202,180
217,202,180
215,202,180
213,202,180
213,202,180
214,202,180
213,202,180
214,202,180
213,202,180
215,202,180
216,202,180
215,202,180
214,202,180
212,202,180
212,202,180
215,202,180
216,202,180
213,202,180
212,202,180
210,202,180
210,202,180
213,202,180
212,202,180
209,202,180
210,202,180
211,202,180
212,202,180
211,202,180
210,202,180
211,202,180
211,202,180
210,202,180
209,202,180
209,202,180
210,202,180
211,202,180
211,202,180
210,202,180
209,202,180
210,202,180
214,202,180
215,202,180
213,202,180
210,202,180
211,202,180
212,202,180
210,202,180
209,202,180
209,202,180
210,202,180
211,202,180
212,202,180
214,202,180
212,202,180
208,202,180
207,202,180
212,202,180
214,202,180
211,202,180
208,202,180
198,202,180
186,202,180
155,202,180
47,202,180
36,202,180
26,202,180
25,202,180
16,202,180
15,202,180
22,202,180
22,202,180
18,202,180
21,202,180
17,202,180
13,202,180
15,202,180
18,202,180
16,202,180
16,202,180
15,202,180
14,202,180
13,202,180
12,202,180
12,202,180
12,202,180
12,202,180
13,202,180
14,202,180
15,202,180
15,202,180
17,202,180
16,202,180
13,202,180
12,202,180
13,202,180
14,202,180
15,202,180
16,202,180
15,202,180
14,202,180
15,202,180
15,202,180
15,202,180
16,202,180
16,202,180
13,202,180
11,202,180
16,202,180
17,202,180
18,202,180
18,202,180
18,202,180
21,202,180
22,202,180
21,202,180
18,202,180
15,202,180
14,202,180
14,202,180
16,202,180
17,202,180
15,202,180
16,202,180
16,202,180
15,202,180
15,202,180
15,202,180
14,202,180
15,202,180
16,202,180
15,202,180
15,202,180
18,202,180
19,202,180
19,202,180
16,202,180
14,202,180
15,202,180
17,202,180
17,202,180
16,202,180
15,202,180
12,202,180
13,202,180
14,202,180
13,202,180
16,202,180
14,202,180
12,202,180
16,202,180
18,202,180
18,202,180
17,202,180
15,202,180
15,202,180
15,202,180
14,202,180
15,202,180
15,202,180
14,202,180
13,202,180
12,202,180
13,202,180
14,202,180
15,202,180
16,202,180
15,202,180
14,202,180
13,202,180
14,202,180
14,202,180
14,202,180
12,202,180
10,202,180
9,202,180
9,202,180
9,202,180
8,202,180
7,202,180
6,202,180
7,202,180
9,202,180
11,202,180
14,202,180
14,202,180
11,202,180
10,202,180
11,202,180
13,202,180
14,202,180
13,202,180
12,202,180
10,202,180
10,202,180
12,202,180
15,202,180
16,202,180
13,202,180
8,202,180
6,202,180
6,202,180
4,202,180
4,202,180
6,202,180
6,202,180
7,202,180
7,202,180
220,203,181
220,203,181
220,203,181
219,203,181
219,203,181
218,203,181
219,203,181
219,203,181
219,203,181
219,203,181
218,203,181
218,203,181
217,203,181
219,203,181
219,203,181
218,203,181
218,203,181
219,203,181
221,203,181
221,203,181
221,203,181
220,203,181
220,203,181
221,203,181
221,203,181
221,203,181
221,203,181
221,203,181
222,203,181
222,203,181
222,203,181
222,203,181
221,203,181
222,203,181
222,203,181
222,203,181
221,203,181
220,203,181
221,203,181
221,203,181
220,203,181
220,203,181
220,203,181
221,203,181
221,203,181
222,203,181
222,203,181
222,203,181
222,203,181
222,203,181
222,203,181
222,203,181
222,203,181
222,203,181
222,203,181
222,203,181
222,203,181
222,203,181
222,203,181
221,203,181
221,203,181
221,203,181
220,203,181
220,203,181
221,203,181
220,203,181
219,203,181
220,203,181
222,203,181
223,203,181
223,203,181
223,203,181
223,203,181
221,203,181
220,203,181
220,203,181
221,203,181
223,203,181
223,203,181
223,203,181
223,203,181
222,203,181
223,203,181
224,203,181
223,203,181
222,203,181
220,203,181
222,203,181
223,203,181
223,203,181
223,203,181
223,203,181
223,203,181
223,203,181
223,203,181
223,203,181
222,203,181
221,203,181
222,203,181
221,203,181
222,203,181
222,203,181
223,203,181
223,203,181
223,203,181
222,203,181
221,203,181
222,203,181
221,203,181
220,203,181
221,203,181
223,203,181
224,203,181
223,203,181
222,203,181
221,203,181
221,203,181
220,203,181
219,203,181
220,203,181
221,203,181
222,203,181
222,203,181
223,203,181
224,203,181
225,203,181
225,203,181
