Channel 1,Channel 2,Channel 3
219,202,180
220,203,181
219,202,180
220,203,181
219,202,180
218,201,179
216,199,177
216,199,177
216,199,177
217,200,178
218,201,179
219,202,180
219,202,180
219,202,180
220,203,181
220,203,181
219,202,180
220,203,181
220,203,181
220,203,181
218,201,179
219,202,180
220,203,181
219,202,180
219,202,180
219,202,180
218,201,179
218,201,179
219,202,180
220,203,181
220,203,181
220,203,181
221,204,182
221,204,182
221,204,182
221,204,182
221,204,182
221,204,182
221,204,182
220,203,181
220,203,181
220,203,181
220,203,181
221,204,182
220,203,181
220,203,181
220,203,181
220,203,181
219,202,180
216,199,177
217,200,178
218,201,179
219,202,180
220,203,181
219,202,180
220,203,181
220,203,181
218,201,179
220,203,181
220,203,181
220,203,181
218,201,179
220,203,181
221,204,182
221,204,182
221,204,182
221,204,182
220,203,181
220,203,181
218,201,179
218,201,179
220,203,180
222,205,183
218,199,177
214,195,173
218,199,177
223,204,182
221,203,180
222,204,181
208,190,167
207,189,164
217,199,174
209,191,166
212,194,169
219,201,176
219,201,178
223,205,182
224,206,183
207,188,166
194,175,153
206,187,166
208,190,168
176,159,137
126,107,85
79,60,41
75,56,38
102,80,62
110,87,71
87,64,49
66,42,29
51,27,14
76,53,41
97,74,63
91,68,55
89,66,52
94,70,56
92,67,53
94,67,53
75,48,35
92,65,53
100,73,60
87,59,47
66,39,28
78,53,41
72,48,36
78,54,42
72,50,38
71,49,37
64,43,31
74,51,42
82,56,52
66,39,36
49,23,19
45,21,14
49,25,18
47,25,18
39,18,10
39,18,11
41,20,12
46,25,17
47,25,18
43,21,14
51,28,20
69,45,38
72,48,41
63,38,31
84,59,53
86,62,55
89,64,59
81,56,52
67,42,37
56,32,27
55,30,26
52,28,23
47,22,18
54,29,25
58,34,30
48,26,21
46,26,20
58,38,32
41,22,15
39,20,15
42,25,18
47,30,23
37,22,14
37,22,15
41,25,18
66,48,41
69,51,43
44,26,19
49,31,24
43,25,18
36,18,11
35,17,10
40,22,14
45,28,21
64,48,41
58,43,35
46,32,24
33,20,12
34,22,14
30,19,11
28,17,9
25,15,6
27,19,9
30,19,13
31,20,15
30,19,14
28,16,11
29,17,12
31,19,14
32,20,15
30,18,13
33,21,16
39,24,19
35,19,13
35,19,13
54,39,32
61,46,38
42,27,18
43,28,17
